blue team,red team,result,game time,blue gold,red gold
Excel,MAD Lions,Victory,21:08,42,31.9
G2 Esports,Rogue,Victory,26:35,54.5,42.8
Misfits Gaming,Astralis,Defeat,32:23,54.3,64.7
Rogue,Astralis,Victory,36:41,67.4,60.5
Fnatic,Team BDS,Victory,54:04,98.7,92.2
Misfits Gaming,Team BDS,Victory,30:01,59,47.3
Team BDS,Team Vitality,Defeat,31:29,56,57.9
Team Vitality,G2 Esports,Defeat,31:39,54.4,65.2
Team Vitality,SK Gaming,Victory,30:08,61.1,49.1
Excel,Rogue,Defeat,32:01,57.8,66
SK Gaming,Fnatic,Defeat,26:40,44.3,52.5
Fnatic,Astralis,Victory,33:06,65.2,51
MAD Lions,G2 Esports,Victory,42:30,81.1,68.6
G2 Esports,Excel,Victory,37:26,74.8,57.5
Excel,Team BDS,Victory,24:07,51,34.9
Rogue,SK Gaming,Victory,31:10,58.3,50.7
Astralis,Excel,Victory,45:45,85.4,83.4
MAD Lions,Rogue,Defeat,30:09,55.3,58.4
Team Vitality,Astralis,Victory,34:10,65.2,57
MAD Lions,Misfits Gaming,Defeat,36:04,64.6,66.5
Team BDS,MAD Lions,Defeat,26:44,38,49.9
Fnatic,Misfits Gaming,Defeat,37:46,67.6,69.7
G2 Esports,Fnatic,Defeat,33:23,56.1,66
G2 Esports,SK Gaming,Defeat,34:39,54.3,68.3
Rogue,Team Vitality,Victory,29:55,59.7,48.2
SK Gaming,Excel,Victory,35:06,64.7,54.5
MAD Lions,Astralis,Victory,38:49,73.6,64.7
Team BDS,Rogue,Defeat,27:53,38.8,57.8
Misfits Gaming,G2 Esports,Victory,42:24,80.9,75.9
Team Vitality,Fnatic,Victory,31:48,61.2,51.9
SK Gaming,Team BDS,Victory,25:24,51,37.2
Misfits Gaming,Excel,Defeat,34:29,56.4,66.3
MAD Lions,Team Vitality,Victory,24:44,54.3,35.2
G2 Esports,Astralis,Victory,33:39,62,56.7
Fnatic,Rogue,Defeat,46:14,77.6,85.5
Astralis,Team BDS,Victory,32:34,63.1,51.3
MAD Lions,SK Gaming,Victory,31:39,59.7,51.7
SK Gaming,Astralis,Victory,36:02,65.7,64.3
Team Vitality,Misfits Gaming,Victory,28:55,56.1,45.4
